,Cycle,RecipID,TotalGiftAmt,TotalGiftAvg,TotalGiftCount,TotalGiftAvg.1,DonorCount,MultiCycleDonorCount,RepeatDonorCount,MaleDonorCount,FemaleDonorCount,CycleCands_x,FECCandID,CID_x,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,curr_cand,incumbent,challenger,open_office,nopacs,republican,democrat,other_party,cand_party,cand_status,run_for_state,run_for_district,presidential_year,label,CID_y,CycleCands_y,AmountRank,AmountRankSimple,10M_amt,1M_to_10M_amt,100K_to_1M_amt,10K_to_100K_amt,1K_to_10K_amt,100_to_1K_amt,10_to_100_amt,1_to_10_amt,0_to_1_amt,senate_seat,presidential_seat,house_seat
52,2010,N00001408,450550,1093.5679611650485,597,1.449029126213592,412,1,102,333,67,2010,H6PA12030,N00001408,John P Murtha (D),D,PA12,    , ,Y,I,DI, ,0,1,0,0,0,0,1,0,Democrat,Incumbent,PA,12,0,0,N00001408,2010,0.3339413529164557,3.0,0,0,1,0,0,0,0,0,0,0,1,0
53,2010,N00001469,399503,839.2920168067227,647,1.3592436974789917,476,129,191,371,63,2010,H2PA06080,N00001469,Tim Holden (D),D,PA17,PA17,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,PA,17,0,1,N00001469,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0
54,2010,N00001489,11059549,1216.9398107394366,14446,1.589568661971831,9088,2489,4073,7053,1855,2010,S4PA00121,N00001489,Pat Toomey (R),R,PAS1,    ,Y,Y,O,RW, ,1,0,0,1,0,1,0,0,Republican,Win,PA,S1,0,1,N00001489,2010,1.0,1.0,1,0,0,0,0,0,0,0,0,1,1,0
55,2010,N00001509,753677,1279.5874363327673,869,1.4753820033955858,589,0,221,460,103,2010,H0PA11050,N00001509,Paul E Kanjorski (D),D,PA11,PA11,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,PA,11,0,0,N00001509,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0
56,2010,N00001579,1578698,1169.405925925926,2326,1.722962962962963,1350,732,879,810,496,2010,H4PA13124,N00001579,Allyson Schwartz (D),D,PA13,PA13,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,PA,13,0,1,N00001579,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0
57,2010,N00001604,3282295,546.502664002664,8144,1.355977355977356,6006,279,1342,4307,1274,2010,S6PA00100,N00001604,Arlen Specter (D),D,PAS1,PAS1, ,Y,I,DL, ,0,1,0,0,0,0,1,0,Democrat,Lose,PA,S1,0,0,N00001604,2010,0.2967838019434608,3.0,0,1,0,0,0,0,0,0,0,1,1,0
58,2010,N00001619,506950,1323.6292428198433,470,1.227154046997389,383,117,150,308,62,2010,H8PA01153,N00001619,Robert A Brady (D),D,PA01,PA01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,PA,01,0,1,N00001619,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0
59,2010,N00001629,9972,906.5454545454544,13,1.181818181818182,11,0,1,8,2,2010,H0PA06134,N00001629,Pat Sellers (R),R,PA06,    , ,Y,C,RL, ,0,0,1,0,0,1,0,0,Republican,Lose,PA,06,0,0,N00001629,2010,0.0073098268497593,3.0,0,0,0,0,1,0,0,0,0,0,1,0
60,2010,N00001633,219810,994.6153846153846,309,1.3981900452488687,221,88,109,178,34,2010,H6PA16197,N00001633,Joe Pitts (R),R,PA16,PA16,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,PA,16,0,1,N00001633,2010,0.9275074897675007,3.0,0,0,1,0,0,0,0,0,0,0,1,0
61,2010,N00001692,190849,921.975845410628,215,1.038647342995169,207,60,62,129,60,2010,H0DC00058,N00001692,Eleanor Holmes Norton (D),D,DC00,DC00,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,DC,00,0,1,N00001692,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
